Id;OpponentId;DateTime;Serie;Result;Stadion;Home_match;Extra_time;Penalties;ResultCode;Attendance;RefereeId
16125;7;2016-10-14 18:30:00.000;Veikkausliiga;1.tammi;Tammelan Stadion;0;0;0;0;4873;NULL
16126;8;2016-10-17 18:30:00.000;Veikkausliiga;0-2;Bolt Arena;1;0;0;2;2887;NULL
16127;9;2016-10-23 15:00:00.000;Veikkausliiga;0-0;Rovaniemen keskuskenttä;0;0;0;0;1285;NULL
16144;8;2020-07-01 18:30:00.000;Veikkausliiga;0-3;Bolt Arena;1;0;0;2;1854;8
16145;9;2020-07-08 18:30:00.000;Veikkausliiga;0-1;Rovaniemen keskuskenttä;0;0;0;1;1397;3
16147;5;2020-07-18 17:00:00.000;Veikkausliiga;0-3;Bolt Arena;1;0;0;2;1837;1
16148;10;2020-07-22 18:30:00.000;Veikkausliiga;2.tammi;Bolt Arena;1;0;0;1;1721;5
16149;3;2020-01-26 15:00:00.000;Suomen Cup;1.tammi;Tapiolan urheilupuisto;0;0;0;0;0;NULL
16150;1;2020-02-01 13:30:00.000;Suomen Cup;1.helmi;Talin jalkapallohalli;1;0;0;2;500;NULL
16151;11;2020-02-07 14:00:00.000;Suomen Cup;1-0;Lähitapiola-Areena;0;0;0;2;0;NULL
16152;4;2020-02-14 18:00:00.000;Suomen Cup;1.tammi;Talin jalkapallohalli;1;0;0;0;500;NULL
16153;6;2020-02-29 19:00:00.000;Suomen Cup;2.helmi;Eckeröhallen;0;0;0;0;400;NULL
17149;4007;2017-04-08 16:00:00.000;Veikkausliiga;0-0;Sauvosaaren urheilupuisto;0;0;0;0;405;NULL
17150;4008;2017-04-15 16:00:00.000;Veikkausliiga;0-0;Bolt Arena;1;0;0;0;2329;NULL
17151;5;2017-04-24 18:30:00.000;Veikkausliiga;1.helmi;Bolt Arena;1;0;0;2;2112;NULL
17152;10;2017-04-28 20:00:00.000;Veikkausliiga;3.maalis;OmaSp Stadion;0;0;0;0;2433;NULL
